Microbe,Mean_Diff,P-value,Test_Statistic,Distributions_Similar,Shapes_Similar,Recommendation,Corrected_P_value
Achromobacter,0.0007482503720969932,0.21528466917693967,6083.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Acinetobacter,8.759100901224975e-05,0.17982184193687356,4743.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Actinobacillus,0.00014700500274327476,0.2374639293360854,4826.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Actinomyces,-0.0053057500447346514,0.17425808461696313,4734.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Actinoplanes,-1.3575442435621584e-05,0.16644993021101662,4721.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Agathobacter,1.1098254733626168e-05,0.9615735742008017,5414.0,True,True,Mann-Whitney assumptions satisfied,0.9927934954410874
Aggregatibacter,-0.000492898650600206,0.11761704956876537,4627.0,False,True,Consider permutation test instead of Mann-Whitney,0.6509787028351307
Alcaligenes,4.7040895383062544e-05,0.3043373125398713,5973.0,True,True,Mann-Whitney assumptions satisfied,0.6995565151418117
Alistipes,7.606668702535251e-07,0.7042047651178701,5637.0,True,True,Mann-Whitney assumptions satisfied,0.8816421862499318
Alloiococcus,6.355193068889575e-06,0.9431550616919842,5477.0,True,True,Mann-Whitney assumptions satisfied,0.9927934954410874
Alloprevotella,-0.007670583309561482,0.3079808557228102,4910.0,True,True,Mann-Whitney assumptions satisfied,0.6995565151418117
Alysiella,-1.5408921180643117e-05,0.2644966255631024,4860.0,True,True,Mann-Whitney assumptions satisfied,0.6675391026116393
Amnipila,-1.2803903745683167e-05,0.4216130179472668,5022.0,True,True,Mann-Whitney assumptions satisfied,0.7677319565540665
Anaerobacillus,-4.6307846322231686e-05,0.546374802665151,5126.0,True,True,Mann-Whitney assumptions satisfied,0.7829532307504214
Anaerococcus,-6.307681437508704e-06,0.38582023439931457,4989.0,True,True,Mann-Whitney assumptions satisfied,0.7573508304875434
Anaerostipes,-1.6158447249954415e-06,0.4442222641696485,5042.0,True,True,Mann-Whitney assumptions satisfied,0.7677319565540665
Anoxybacillus,5.607319683230701e-05,0.9354890759880514,5397.0,True,True,Mann-Whitney assumptions satisfied,0.9927934954410874
Aquabacterium,4.9310221222326455e-05,0.10969993442058681,6270.0,True,True,Mann-Whitney assumptions satisfied,0.6509787028351307
Atopobium,0.00010031143089722335,0.25472320866068565,4848.0,True,True,Mann-Whitney assumptions satisfied,0.6660482254966377
Avibacterium,5.8620295018881616e-05,0.98308709809988,5451.0,True,True,Mann-Whitney assumptions satisfied,0.9953870706115624
Bacillus,0.0008738716957038426,0.7607535619006975,5598.0,True,True,Mann-Whitney assumptions satisfied,0.8959986395719326
Bacteroides,-7.163540750319407e-05,0.35194742014267966,4956.0,True,True,Mann-Whitney assumptions satisfied,0.7370889207360753
Bergeyella,0.0005717117142378034,0.8683648616365435,5526.0,True,True,Mann-Whitney assumptions satisfied,0.9604944660873068
Bibersteinia,-0.0001958657340229296,0.3712135429759741,4975.0,True,True,Mann-Whitney assumptions satisfied,0.7480758465542455
Bifidobacterium,-0.00020868651650872297,0.5273158640232192,5111.0,True,True,Mann-Whitney assumptions satisfied,0.7829532307504214
Blautia,-4.754665563359373e-05,0.3266298515236806,4930.0,True,True,Mann-Whitney assumptions satisfied,0.7213075887814614
Brachybacterium,-1.524009441702707e-05,0.01334324500485655,4155.0,False,False,Consider permutation test instead of Mann-Whitney,0.6509787028351307
Burkholderia-Caballeronia-Paraburkholderia,0.0016329748340371264,0.41056623914912926,5867.0,True,True,Mann-Whitney assumptions satisfied,0.7677319565540665
Butyrivibrio,0.000266614932568534,0.4171735361120904,5018.0,True,True,Mann-Whitney assumptions satisfied,0.7677319565540665
Campylobacter,0.00019265421784326817,0.7272273980832842,5258.0,True,True,Mann-Whitney assumptions satisfied,0.8832668535314948
Candidatus Profftella,2.0600183288973665e-05,0.313500071950748,5963.0,True,True,Mann-Whitney assumptions satisfied,0.70206354141083
