Feature,Importance
LEPTIN,0.02197020359300905
MCP1,0.01820266765315635
IL31,0.01541228650132249
IL15,0.013933820051044961
GMCSF,0.01365482629984863
IL18,0.01271225996005504
LIF,0.01170401590683175
Candidatus Saccharimonas,0.011551892074367966
Dorea,0.010955089820779005
RESISTIN,0.010683289175195742
RANTES,0.010532447550130773
TNFB,0.01043715792341199
Rothia,0.010107281403741342
IL17A,0.009912711807749696
Peptococcus,0.009814058492630957
Fusobacterium,0.009490412862380419
Gemella,0.009310937491691302
Tannerella,0.00914878750101528
IL23,0.009094889126459314
PDGFBB,0.008571037085175526
ENA78,0.008231204097239452
HGF,0.007998056781931533
Alysiella,0.007729041803236771
IP10,0.007696678034627328
Micromonospora,0.007246644811413773
Johnsonella,0.006942488221861897
IL7,0.006796556122967083
VEGFD,0.006759258485146924
IL27,0.0067252412246189995
IL9,0.006525631430595464
