Microbe,Cytokine,Correlation,P-value,Corrected_P-value,Exceeds_Perm_Threshold
Acidothermus,IL17F,0.08623705311374884,0.053488781739133226,0.1414236573648488,False
Acidothermus,FASL,0.01760658072761052,0.6939289415611705,0.8091987314887004,False
Acidothermus,TGFA,0.07371322561954663,0.09900455487601553,0.22090747609091757,False
Acidothermus,MIP1A,0.057597060614970316,0.19762925734224351,0.3588348483566702,False
Acidothermus,SDF1A,0.07059303453458314,0.11417777871951693,0.24348479548525254,False
Acidothermus,IL27,0.02017771243840928,0.6519839646198403,0.7755757061863027,False
Acidothermus,LIF,-0.020765832872887354,0.6425359244574613,0.7670839662970976,False
Acidothermus,IL1B,0.07650252287562953,0.08684077282482255,0.19967220315588624,False
Acidothermus,IL2,0.03213345985877012,0.4725400561443569,0.6328661466219065,False
Acidothermus,IL4,0.07612291582572961,0.08842180323383875,0.20214424043134227,False
Acidothermus,IL5,0.03661291002755847,0.4130404718049894,0.5786314258379724,False
Acidothermus,IP10,0.017804081400187712,0.6906715384746968,0.8081586949942979,False
Acidothermus,IL6,0.0019683800413007515,0.9649104963957716,0.9816105297625143,False
Acidothermus,IL7,0.07338900976415827,0.10050233176614976,0.2228592478362405,False
Acidothermus,IL8,0.0737277384084664,0.09893792789046577,0.22086479341846654,False
Acidothermus,IL10,0.07719195383005306,0.08402759378532643,0.19546188649413102,False
Acidothermus,IFNB,0.09303099114609964,0.037185912124405404,0.10916318900156889,True
Acidothermus,EOTAXIN,-0.049700184367955494,0.2663698180615779,0.43521421433110935,False
Acidothermus,IL12P70,0.027981213026558586,0.5316503869302687,0.6848537359775526,False
Acidothermus,IL13,0.01455628384440431,0.7449215384885061,0.8448500375540374,False
Acidothermus,IL17A,-0.005261054795870393,0.9063982580090577,0.9479681040220672,False
Acidothermus,IL31,0.0734660659321844,0.10014473496728324,0.2224906916377769,False
Acidothermus,IL1RA,0.010120674271283733,0.8210475616643108,0.894324469838146,False
Acidothermus,SCF,0.04091313864462612,0.3603116835066461,0.5300377501758634,False
Acidothermus,RANTES,0.0264790143768034,0.5539198441627422,0.7024072198954872,False
Acidothermus,IFNG,-0.0014279544748762732,0.974540563761831,0.987494796577144,False
Acidothermus,GMCSF,-0.14598312001591432,0.0010371909473880418,0.007679837428908272,True
Acidothermus,TNFA,0.012737321579282508,0.7758859844182201,0.8638649782721061,False
Acidothermus,HGF,-0.10083865659412547,0.023855055970171186,0.07980288508006907,True
Acidothermus,MIP1B,0.028514631885044956,0.5238529649252237,0.6781504139482991,False
Acidothermus,IFNA,0.006289265370784881,0.8882149105042412,0.9365761437881327,False
Acidothermus,TGFB,0.04861272700282015,0.27698684366166615,0.44459400173515623,False
Acidothermus,MCP1,-0.0007728996785609833,0.9862180867967227,0.993482258146612,False
Acidothermus,IL9,0.09540530458445524,0.032586768607725664,0.09962424327805676,True
Acidothermus,VEGFD,0.04413704689380077,0.3236808623032431,0.4952668672951894,False
Acidothermus,TNFB,0.05459884680977752,0.22202238746260486,0.38580123381954884,False
Acidothermus,NGF,0.04918689881045452,0.27134580818145726,0.43903438464903105,False
Acidothermus,EGF,0.07131188813750186,0.11052956811713321,0.23805580905264911,False
Acidothermus,BDNF,0.05122525714991796,0.25195604880417805,0.4192787009541886,False
