Feature,Importance
MCP1,0.02476798596228364
IL18,0.017967883152733385
LEPTIN,0.017813610693802138
IL31,0.017809570731466037
IL15,0.0157954349078902
PDGFBB,0.01409788576804879
BBMC-4,0.012440700014618142
Frederiksenia,0.01174916446570703
ENA78,0.011462005972694025
Glutamicibacter,0.011213324595557786
GMCSF,0.010714907699914972
Varibaculum,0.010410990284484823
Pseudomonas,0.009628327824670687
Enterococcus,0.009435881847312642
TGFB,0.009361696111131572
Microlunatus,0.008906674901801229
Lawsonella,0.008689275927608061
Finegoldia,0.008654538860894338
TNFB,0.008558009216698644
RANTES,0.008490107466650389
IL23,0.00831011908390145
Corynebacterium,0.008259071534175684
Lachnospiraceae NK4A136 group,0.008213431033117767
IL21,0.00819666561169947
RESISTIN,0.008045834091239478
IL1B,0.008013318739121207
Rhodococcus,0.007850604616459988
IFNG,0.007706084211372515
LIF,0.0076537183223217
Staphylococcus,0.007646830808449694
