Microbe,Cytokine,Correlation,P-value,Corrected_P-value,Exceeds_Perm_Threshold
Acidothermus,GMCSF,-0.14598312001591432,0.0010371909473880418,0.007679837428908272,True
Acidothermus,LEPTIN,-0.16970950814449498,0.00013308829035165693,0.001595001417874239,True
Acidothermus,CD40L,0.14481403433020631,0.0011391718642186517,0.008259579647526556,True
Acinetobacter,IL1B,0.1327521919399237,0.002881113779787657,0.016958454526598235,True
Acinetobacter,IL4,0.14376340926892836,0.00123862263255805,0.00877907799574668,True
Acinetobacter,IL10,0.11421689207739216,0.010434831039707446,0.044312296196017925,True
Acinetobacter,IL17A,0.1443127843522342,0.0011856637277764571,0.008534576368669545,True
Acinetobacter,IL12P40,-0.151387846146988,0.0006663164520366022,0.005542703939123793,True
Acinetobacter,MCP3,0.1578949665155043,0.0003835165264727671,0.003639493567547688,True
Acinetobacter,RESISTIN,-0.11244566203600861,0.011698702805080051,0.04814067968462145,True
Acinetobacter,LEPTIN,-0.12504989508753261,0.005018806537263945,0.02553917152752508,True
Acinetobacter,PAI1,-0.14117146992119534,0.0015191168473592041,0.010229747087428583,True
Actinomadura,IL17F,0.1522611697280464,0.0006194788164247173,0.005246951723815912,True
Actinomadura,IL5,0.24647662103112133,2.203945835731592e-08,1.6800570715003117e-06,True
Actinomadura,IP10,-0.1454588968368371,0.0010818306152825885,0.007903730388917582,True
Actinomadura,IL13,0.11554351182965435,0.009569107489880196,0.041624274862434904,True
Actinomadura,GMCSF,0.1487772275704749,0.0008266192229735916,0.006537039773515648,True
Actinomadura,HGF,-0.1467210321897276,0.000977230098236062,0.007364862166608895,True
Actinomadura,MIP1B,0.15502891545291317,0.000490454160099751,0.0044116777414582925,True
Actinomadura,NGF,0.1784714759224107,5.7932763154162274e-05,0.0008706589872598942,True
Actinomadura,IL23,0.13249920817439131,0.0029354704305637703,0.01716973270707111,True
Actinomadura,IL15,0.16537833646083247,0.00019782218592262786,0.002216569373518943,True
Actinomadura,MCP3,-0.11323404680444317,0.011120319652729771,0.046417851333207756,True
Actinomadura,ICAM1,-0.23973677781431965,5.403617771147358e-08,3.5389891036387627e-06,True
Actinomadura,IL22,0.1330214189714513,0.0028242745884306873,0.016666087355587177,True
Actinomadura,LEPTIN,0.1590038815722291,0.0003483112634147813,0.003395487159074912,True
Actinomyces,IL27,0.12526927106801625,0.004942070803309675,0.02535963863504614,True
Actinomyces,LIF,0.15456669065137613,0.0005100994391281545,0.0045439892566013764,True
Actinomyces,IP10,0.12354519985487741,0.00557473193795137,0.02790366362914302,True
Actinomyces,IFNG,0.11867953649365282,0.007771438667677102,0.03567343514777742,True
Actinomyces,GMCSF,0.346606217728361,1.2887946733677868e-15,1.1985790462320416e-12,True
Actinomyces,HGF,0.14126073386958335,0.0015085589167635868,0.010229747087428583,True
Actinomyces,EGF,-0.12671962264897954,0.004460815228797241,0.023625046485087894,True
Actinomyces,BDNF,0.11331673089115621,0.011061152385469258,0.04629555228841769,True
Actinomyces,IL12P40,0.19602821264262188,9.683254966209927e-06,0.00021647661342728925,True
Actinomyces,IL15,0.12680147109611212,0.004434962937530369,0.023568660182304246,True
Actinomyces,IL18,0.12547241193966682,0.0048719590591199576,0.025199788236827367,True
Actinomyces,RESISTIN,0.23512768727893513,9.82726140478975e-08,5.712095691534042e-06,True
Actinomyces,PDGFBB,0.25443800326879656,7.382244711162473e-09,6.8654875813811e-07,True
Actinomyces,LEPTIN,0.388928697453696,1.4144965260546914e-19,6.577408846154315e-16,True
Actinomyces,ENA78,0.15573630401947175,0.00046174677865260384,0.004234955662198437,True
Alloiococcus,TGFA,-0.13457074850788406,0.002516560363334612,0.015177698689372174,True
Alloiococcus,IL27,-0.16924682552572387,0.00013890889530905268,0.0016519855835987081,True
Alloiococcus,LIF,-0.154484827473907,0.0005136540747144097,0.00456690525319695,True
Alloiococcus,IL8,-0.12381556039978073,0.005470935206381835,0.02744320249155937,True
Alloiococcus,IL13,-0.15446067719274903,0.0005147071091563166,0.004567534461024565,True
Alloiococcus,IL17A,-0.12692187387068193,0.004397179040892492,0.0234482597937501,True
Alloiococcus,IL1RA,-0.11275900528447799,0.011465712942897967,0.0473916134973116,True
Alloiococcus,GMCSF,-0.1740910518426381,8.824518927286566e-05,0.0011963269099674208,True
Alloiococcus,IFNA,-0.1653188828154324,0.00019888797612901792,0.002223146848557532,True
Alloiococcus,TGFB,-0.12425544344088624,0.005305767970341907,0.02673003365340181,True
Alloiococcus,MCP1,0.19417966132712805,1.178151881141701e-05,0.00025687368801194344,True
Alloiococcus,IL9,-0.13210891220044882,0.0030211623312715635,0.017582484155710603,True
Alloiococcus,VEGFD,0.18931093801792792,1.9575867919149823e-05,0.000382351878342394,True
Alloiococcus,EGF,0.11512456424504838,0.00983533994132675,0.04262286181469654,True
Alloiococcus,BDNF,-0.1485768937212506,0.0008402884751137148,0.006622612558099616,True
Alloiococcus,GROA,-0.12147954426733258,0.006428076078133638,0.03084680470931003,True
Alloiococcus,IL12P40,-0.16692893607648007,0.0001718439460700328,0.001973023084507784,True
Alloiococcus,IL15,-0.1268499915771696,0.0044197014567419575,0.023514429947196915,True
Alloiococcus,RESISTIN,-0.18501335072641958,3.032408778488825e-05,0.0005261455529840685,True
