Microbe,Mean_Diff,P-value,Test_Statistic,Distributions_Similar,Shapes_Similar,Recommendation,Corrected_P_value
Acidipropionibacterium,1.2709972460900072e-05,0.44530108890904174,4261.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Acidothermus,6.817053678696632e-06,0.9256641895559252,4643.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Acinetobacter,0.006222545588310272,0.7165389695462944,4439.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Actinomadura,0.00022316209150426928,0.8142557304144584,4706.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Actinomyces,0.0010961860537712798,0.9524917833700776,4574.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Aeribacillus,-0.005685196108872813,0.4372994786958848,4255.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Aestuariimicrobium,3.0993506003217184e-05,0.7215832865635807,4760.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Alloprevotella,0.0009200590381216831,0.6586512398628788,4798.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,-0.003425008045660638,0.8370154688261439,4693.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Anaerococcus,-9.520370528647015e-05,0.9991030884226446,4600.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Aquabacterium,-0.0008103980356110327,0.838772140599422,4692.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Arthrobacter,0.00019295516502713462,0.2585888497304334,5104.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Atopobium,0.00030738777734935774,0.404863263250553,4972.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Bacillus,-0.011628224476751301,0.49218825406055133,4907.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Bacteroides,0.0012924221156916374,0.7452806551470079,4456.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Bergeyella,-0.000453426515239831,0.11737477177930886,3904.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Bifidobacterium,0.0006969382067378774,0.5949302806109029,4838.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Brevibacterium,0.0009345035046803635,0.24739026998333957,5116.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Burkholderia-Caballeronia-Paraburkholderia,-0.0015982222770526142,0.7199004889760463,4441.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Campylobacter,-3.526865683427336e-05,0.32531312430191306,4163.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Capnocytophaga,-0.0005843072383608761,0.8264927923681684,4699.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Cellulomonas,0.0007075935156056517,0.8107675969028573,4494.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Chryseobacterium,0.0007676846772386775,0.25481759874194654,4094.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Cloacibacterium,0.00013553471385556543,0.7623576880404317,4736.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Clostridium sensu stricto 1,6.982563530359803e-05,0.6456871417459793,4806.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Comamonas,-0.0014594884121047341,0.9078240830713614,4653.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Corynebacterium,-0.0019558355783014444,0.31114371461826484,5052.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Cutibacterium,-0.028461264084389704,0.9991030884226446,4602.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Dermabacter,-0.001405097698772411,0.9829599719754515,4591.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Dialister,0.0005504307890875919,0.7640719279567759,4467.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Dietzia,0.0024697638240480787,0.33875935323480666,5027.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Dolosigranulum,-0.004010390585760771,0.6915063920092823,4424.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Enterobacter,0.0010222515813331505,0.23299353006658396,5132.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Enterococcus,-0.00039785036419627074,0.15502569105084615,5234.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Erysipelothrix,-6.3626352015092955e-06,0.7657873249934707,4468.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Escherichia-Shigella,0.0014409585265508244,0.8811536476764634,4668.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Finegoldia,-0.007237935768048816,0.22948910719072002,4066.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Flavobacterium,0.0021246333197940106,0.8528537324450409,4518.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Fusobacterium,-0.0009719876358793647,0.18506229325785784,4011.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Gemella,-0.0017981256126788855,0.7486863668077246,4458.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Glutamicibacter,-3.1678166713054214e-05,0.9901342219831912,4607.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Granulicatella,-0.0014693143988080218,0.3763312423467572,4207.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Haemophilus,-0.00756524871969481,0.7014808370745045,4430.0,True,True,Mann-Whitney assumptions satisfied,0.9991030884226446
Iamia,-0.00021757965888177376,0.01161494847156498,3478.0,True,False,Consider permutation test instead of Mann-Whitney,0.41863399996967443
