Feature,Importance
MCP1,0.02520770365728777
LEPTIN,0.021426833537761113
IL15,0.018179104117528006
ENA78,0.01639045024398999
RANTES,0.014378982523918815
IL21,0.014156701213025395
GMCSF,0.01415632833262441
TGFB,0.014099991083944552
IL18,0.013298551070062408
IL23,0.012673366232610174
IL31,0.01212072850793933
IL17A,0.012034652759519652
PDGFBB,0.01202814339223672
SDF1A,0.011773839129358045
IL7,0.011135010173913733
GROA,0.010590678143757165
IFNG,0.010479283584491234
Tessaracoccus,0.010076677649795402
FGFB,0.009806552823618768
EOTAXIN,0.009765083415568906
IL5,0.009726590495206503
IL12P70,0.009713410406270696
MIP1A,0.009433067523774671
IL1B,0.009275131726207194
PAI1,0.00925120515185427
IL13,0.008995544375045792
TNFB,0.008943032691483234
TRAIL,0.008913436603057387
Prauserella,0.008829128467546936
HGF,0.008423684170348405
