Feature,Importance
MCP1,0.020104436170522023
LEPTIN,0.01973311743789397
IL31,0.01881367291179195
IL18,0.015867779781772885
Erysipelatoclostridium,0.015752934690635788
Frisingicoccus,0.015745387208174113
Family XIII AD3011 group,0.012834042914031446
UCG-005,0.012815492352060903
LIF,0.011857335926792325
GMCSF,0.010287948153672587
Streptococcus,0.009901291922227133
Negativibacillus,0.009639126209339488
Oscillibacter,0.009308877154350432
Romboutsia,0.009152340403534867
Butyrivibrio,0.009043521374394086
IL23,0.009035448418723507
IL15,0.008737276680484336
IL21,0.00871130744693004
Lachnospira,0.00850180596380785
Fusobacterium,0.008403283418093281
IL13,0.008352391198771923
Prevotellaceae UCG-001,0.008303674945714493
TNFB,0.008016099997550721
IP10,0.00797549205862504
IL12P40,0.00789975337917301
RANTES,0.0077537576142822666
IL1RA,0.007747111315077387
Flavobacterium,0.007644203819645287
PAI1,0.007579441402775308
Parasutterella,0.007395926281068174
