Feature,Importance
MCP1,0.021584920849325614
IL31,0.015968886310651857
EGF,0.013288074375014001
MIG,0.01008466352985574
Mycobacterium,0.009735221237469392
LEPTIN,0.009336383177664538
IL10,0.00865697201499161
VCAM1,0.00841540076890114
IL12P70,0.00805156468012045
IL5,0.0077286241244038925
EOTAXIN,0.007654839120805076
Lachnospiraceae NK4A136 group,0.007385340571456856
Peptococcus,0.007306717646806498
VEGFD,0.007234692828657507
ENA78,0.007219261490769707
TGFB,0.007095101238262114
GMCSF,0.007087849036963507
TNFA,0.00690924718966904
Jeotgalibaca,0.006678456484069875
VEGF,0.00667678342891457
Anaerococcus,0.00656927108582732
Bacteroides,0.0065029755171260055
Colidextribacter,0.006374427796104271
Fusobacterium,0.006306217098103901
Lysinibacillus,0.006249720366470918
MIP1A,0.00624397891702396
IL13,0.006242155047024012
RANTES,0.006109538519533817
IL1B,0.006082000947208836
SCF,0.006063345070452851
