Microbe,Cytokine,Correlation,P-value,Corrected_P-value,Exceeds_Perm_Threshold
Achromobacter,LIF,-0.15859938405628446,0.0007864443064198558,0.012246368998738665,True
Acinetobacter,FASL,0.1624727049656746,0.000580398034558582,0.009950545782049567,True
Acinetobacter,IL31,0.1743272264685833,0.00021951674281615397,0.005160748573187479,True
Acinetobacter,RANTES,0.14114301592514428,0.0028451401479711335,0.028075467045745178,True
Acinetobacter,IL18,0.16116247314395318,0.0006437066809731485,0.01075535671361576,True
Acinetobacter,MCSF,0.13328839477015375,0.004856665524694066,0.04089475251165066,True
Acinetobacter,VCAM1,0.15088415413115863,0.0014117071944946258,0.017680241822283227,True
Actinobacillus,FASL,0.1615099154524183,0.0006263225600655581,0.010554338114745763,True
Actinobacillus,IL31,0.19772365612231613,2.659771551439306e-05,0.001197261550415008,True
Actinobacillus,GROA,0.14005984838307048,0.0030677837143176416,0.02973668815707307,True
Actinobacillus,MCSF,0.15608293684553792,0.0009545824464519028,0.013818316823968954,True
Actinomyces,IFNB,0.13211128510973236,0.00524973711188864,0.043234677066832254,True
Actinomyces,MIP1B,-0.12897335270461033,0.006441242898666583,0.04891970145998087,True
Actinomyces,CD40L,0.13039812585138855,0.005873056481214726,0.04629461501847549,True
Actinoplanes,FASL,-0.13115623975757915,0.005589453770745676,0.04494358505057983,True
Actinoplanes,IL1A,-0.12984129923834584,0.006089523645052418,0.04745495975725434,True
Agathobacter,FASL,-0.144904451850233,0.0021814083967054477,0.02339969964605256,True
Agathobacter,SDF1A,-0.18102884989923737,0.00012311541283454425,0.003656724941685457,True
Agathobacter,IL4,-0.16039566067306243,0.0006836682834263012,0.011030846044674634,True
Agathobacter,IL31,-0.13675633194931203,0.0038480702173757098,0.03496246654644216,True
Agathobacter,RANTES,-0.15424568644298522,0.0010976587336405383,0.014989518873843649,True
Agathobacter,TNFA,-0.17267858064602976,0.00025227187842965756,0.005677845154245581,True
Agathobacter,MIP1B,-0.20717928815163725,1.0527029048387694e-05,0.0006609901424140501,True
Agathobacter,TNFB,-0.18974423397588425,5.6241026905330285e-05,0.00203085730121885,True
Agathobacter,EGF,-0.1310400047335196,0.005632120943482429,0.04512683809729234,True
Agathobacter,BDNF,-0.16874006780997022,0.00034991622323345004,0.006926654876777813,True
Agathobacter,IL15,-0.13302101540025632,0.004943545710342475,0.04129955390894586,True
Agathobacter,MCSF,-0.15283571703618082,0.0012205900715745956,0.016247707154419335,True
Agathobacter,MCP3,-0.129933205550319,0.0060533086197447575,0.047322376188298036,True
Agathobacter,IL22,-0.13202158857575538,0.0052808327616285615,0.04341822298926969,True
Agathobacter,PDGFBB,-0.13717462491656846,0.0037402068813705077,0.034234874128644815,True
Aggregatibacter,FASL,0.14560918109084142,0.0020740590122131867,0.022679404737687304,True
Aggregatibacter,IP10,0.16527564074380882,0.00046387767321625614,0.008579561168041,True
Aggregatibacter,IL6,0.13280501148286977,0.005014752615999008,0.04178819212892495,True
Aggregatibacter,IL31,0.1605839910892383,0.0006736461478553825,0.011030846044674634,True
Aggregatibacter,RANTES,0.12909612503819176,0.0063904102681476985,0.048704159108493,True
Aggregatibacter,IL18,0.13130441701014572,0.005535482883649387,0.04467664898532749,True
Aggregatibacter,MCSF,0.13339733674442505,0.00482166327062008,0.04076497128796976,True
Alcaligenes,LIF,-0.17774316724430686,0.0001639008114172847,0.004378683465993476,True
Alistipes,IL17F,0.14235149761877736,0.002614165874530632,0.026377120973513784,True
Alistipes,IL4,0.18271058931464412,0.00010613552928745788,0.0033110254674549363,True
Alistipes,IL5,0.13517129047019077,0.0042828290861260665,0.0372969338613346,True
Alistipes,MIP1B,0.13899979658562936,0.0033008928657158347,0.03131876984622396,True
Alistipes,IL9,0.1288894572181202,0.006476187181303316,0.049109425564067756,True
Alistipes,BDNF,0.1458690209020318,0.002035712733202753,0.022472627238424123,True
Alistipes,GROA,0.1386017179200315,0.003392505696417458,0.03203383252421772,True
Alloiococcus,IL1B,0.1363608447356812,0.003952635000884524,0.035519668038942236,True
Alloiococcus,IL17A,0.15303572526625486,0.00120241273083365,0.016089900481158038,True
Alloiococcus,IL31,0.13244791835703085,0.005134499367086886,0.042498652192059214,True
Alloiococcus,IL1RA,0.14949278318731193,0.001564354196667402,0.01901529429192016,True
Alloiococcus,GROA,0.13746238114496587,0.003667602599380968,0.03375838134892398,True
Alloiococcus,PDGFBB,0.1461057973877837,0.0020013357533725227,0.022343338456111358,True
Alloprevotella,MIP1A,0.16256945873444087,0.0005759599917261159,0.009932636248432727,True
Alloprevotella,LIF,-0.17454045086230316,0.00021558372936993677,0.005158311660506885,True
Alloprevotella,IL1B,-0.14465060652403033,0.002221303022538688,0.023698706922279638,True
Alloprevotella,IL2,-0.12955329960812523,0.006204270856304587,0.04789483328226359,True
Alloprevotella,IL5,-0.16507419809545834,0.0004714652102390814,0.008622827537174147,True
Alloprevotella,EOTAXIN,-0.1845362970941412,9.02071157863751e-05,0.002934857252218105,True
Alloprevotella,IL1RA,-0.12895305780970887,0.006449680623516845,0.04894607512442575,True
Alloprevotella,IFNG,-0.14819859983034847,0.0017197897282291358,0.020016159552400027,True
Alloprevotella,GMCSF,-0.17346563590472383,0.00023610302941618502,0.005471588480340452,True
Alloprevotella,TNFA,-0.1913412151911185,4.8531002056225524e-05,0.0018053532764915894,True
Alloprevotella,BDNF,-0.1441795421644039,0.0022971063393401373,0.024196242268286344,True
Alloprevotella,IL12P40,-0.14833080690943437,0.0017032856444068292,0.01990179336966989,True
Alloprevotella,IL15,-0.15238134213515228,0.0012628289052935588,0.016423439773593538,True
Alloprevotella,PDGFBB,-0.26432675440416736,1.5023422932902144e-08,6.444820599091606e-06,True
Alloprevotella,LEPTIN,-0.2039842452781744,1.4468425064654037e-05,0.0007990520789608153,True
Alloprevotella,CD40L,0.23443784512129034,5.690620403855728e-07,7.684676156330106e-05,True
Alysiella,LIF,-0.17132799771046667,0.00028245191846304186,0.006013846678636429,True
Alysiella,HGF,-0.22512027945319618,1.608376940424331e-06,0.0001686742540287559,True
Alysiella,VEGFD,0.15653134555368414,0.0009223803672059295,0.013431057104750448,True
Alysiella,MCP3,0.13947677011735818,0.0031940840468593474,0.030547446986881648,True
Alysiella,RESISTIN,-0.17474908978501494,0.00021179920755892465,0.005155124518634727,True
Amnipila,LIF,-0.27523832874126414,3.542614115268949e-09,2.4945064248800927e-06,True
Amnipila,EOTAXIN,-0.21849943290765073,3.2774051589252395e-06,0.0002956516294098258,True
Amnipila,IL17A,-0.1488706022275253,0.0016373957850963447,0.01949450199212532,True
Amnipila,IL31,-0.13648845625079872,0.003918617509507475,0.03537521191275155,True
Amnipila,IL1RA,-0.15317110398844272,0.0011902509044020512,0.015996035849532905,True
Amnipila,IFNG,-0.15117485241803585,0.0013815960671787668,0.017494375877103285,True
Amnipila,GMCSF,-0.2852449930725249,8.893661640326042e-10,1.0959214556291765e-06,True
Amnipila,HGF,-0.18054148248344035,0.00012849412066601054,0.003725573651545682,True
Amnipila,TGFB,-0.21757987001220908,3.6117573932648886e-06,0.0003069371067483213,True
Amnipila,NGF,-0.14337650175837346,0.0024317940029071625,0.025207807866097588,True
Amnipila,IL12P40,-0.1805997875503192,0.0001278392203072127,0.0037175192737123977,True
Amnipila,IL15,-0.26337107975375895,1.699790379147715e-08,6.444820599091606e-06,True
Amnipila,IL18,-0.18272952234235215,0.00010595755387822462,0.0033110254674549363,True
Amnipila,RESISTIN,-0.19979570058850843,2.1788938508498105e-05,0.0010668080906760748,True
Amnipila,ICAM1,0.2023172685846632,1.7046260597155203e-05,0.0008891113067024125,True
Amnipila,PDGFBB,-0.15260328153363004,0.0012420321173175588,0.016348681344020618,True
Amnipila,LEPTIN,-0.3112846822734844,1.872218412167275e-11,3.6912658214289996e-08,True
Amnipila,CD40L,0.18552819848033542,8.252555460766933e-05,0.0027299896554443094,True
Amnipila,ENA78,-0.16174503932961032,0.0006148063087295969,0.010395815765791365,True
Anaerobacillus,IL17F,-0.13077507748335518,0.005730465823736986,0.04566768964462345,True
Anaerobacillus,MIP1A,-0.14272781778143395,0.0025458096377439184,0.025899475138162587,True
Anaerobacillus,LIF,0.12843405404260236,0.006668854379577928,0.049917666267182394,True
Anaerobacillus,IL17A,0.16043969242821549,0.0006813128074266402,0.011030846044674634,True
Anaerobacillus,IL31,0.1628407791613856,0.0005636820810799173,0.009814223301980974,True
Anaerobacillus,IL1RA,0.13773068156333368,0.003601060304741339,0.03337587895024552,True
Anaerobacillus,IL15,0.147205306326344,0.0018485525716411036,0.021091471355599536,True
Anaerobacillus,VEGF,-0.14222634202899692,0.0026372675367758685,0.026501715981178914,True
Anaerobacillus,LEPTIN,0.15301218514908987,0.0012045391108840163,0.016089900481158038,True
Anaerobacillus,CD40L,-0.18237522593030212,0.00010933500486548368,0.0033682014936373063,True
Anaerobacillus,ENA78,0.17084785461751442,0.0002939703377646285,0.0061397448933976865,True
Anaerococcus,IL5,-0.1352169101874979,0.004269719978338993,0.037248583669438756,True
Anaerococcus,MCP3,-0.17468879342533275,0.00021288649159142804,0.005155124518634727,True
Anaerococcus,RESISTIN,0.12863339149789854,0.006583897538539021,0.049407310394797135,True
Anaerococcus,PDGFBB,-0.12863775312219097,0.006582049524678358,0.049407310394797135,True
Anoxybacillus,CD40L,-0.13624712926265495,0.003983173160528105,0.03566405178609088,True
Aquabacterium,EOTAXIN,0.13191920130748783,0.005316530567794364,0.04360262756848323,True
Aquabacterium,SCF,0.15746474785138284,0.0008585417126842783,0.012889602799900642,True
Aquabacterium,TNFA,0.12943354427752307,0.006252553188282051,0.048172866630843435,True
Aquabacterium,MIP1B,0.1743080546173343,0.0002198736458448713,0.005160748573187479,True
Aquabacterium,TNFB,0.1375199202856412,0.0036532389370919857,0.033657597609208216,True
Aquabacterium,EGF,0.14071524009578446,0.0029312502813483047,0.028638518606076895,True
Aquabacterium,MCP3,0.1512870351056009,0.0013701346594474084,0.017405653959835763,True
Aquabacterium,PAI1,0.1445046013495962,0.002244550119180207,0.02389405613780746,True
Atopobium,MIP1B,-0.1857930908872488,8.058091088137719e-05,0.0026746350823859135,True
Atopobium,VEGFD,0.14447488575223236,0.0022493085915890974,0.02389405613780746,True
Atopobium,TRAIL,-0.12867235047693457,0.006567407136973632,0.049407310394797135,True
