Feature,Importance
Stenoxybacter,0.02932064
TRAIL,0.025869325
Actinobacillus,0.0177519
Cutibacterium,0.01684066
Lachnospiraceae FCS020 group,0.0154691385
Peptococcus,0.015036158
GROA,0.013858776
Moraxella,0.013571204
Conchiformibius,0.012546466
Herbaspirillum,0.012454929
Lysinibacillus,0.012310396
IL7,0.011251836
Flavobacterium,0.011159802
FASL,0.011062137
Colidextribacter,0.010778807
Lachnospiraceae UCG-004,0.009964519
Limnobacter,0.009929883
Selenomonas,0.009595855
Fusobacterium,0.009487906
Christensenellaceae R-7 group,0.0093028145
Lachnospira,0.008829436
IL12P70,0.008825972
Lactococcus,0.008800391
IFNB,0.008477012
IL22,0.008451459
CD40L,0.008224082
Gallibacterium,0.0082090525
Sulfuricella,0.008192033
Atopobium,0.008143153
Clostridium sensu stricto 1,0.008122975
