Microbe,Mean_Diff,P-value,Test_Statistic,Distributions_Similar,Shapes_Similar,Recommendation,Corrected_P_value
Acidothermus,9.231736168985956e-05,0.360454014281989,7554.0,True,True,Mann-Whitney assumptions satisfied,0.5517153279826362
Acinetobacter,-0.015980450135388003,3.774658014973413e-05,4409.0,False,False,Consider permutation test instead of Mann-Whitney,0.0028309935112300596
Actinomadura,0.0005972520608947529,0.3160601555346315,7609.0,True,True,Mann-Whitney assumptions satisfied,0.5043513120233482
Actinomyces,0.0010483674885789847,0.002342356159690101,8883.0,False,False,Consider permutation test instead of Mann-Whitney,0.025096673139536795
Alloiococcus,3.0328126781587438e-06,0.201228895863104,6184.0,True,True,Mann-Whitney assumptions satisfied,0.43120477684950853
Alloprevotella,4.570197844767248e-05,0.9501953266652529,6943.0,True,True,Mann-Whitney assumptions satisfied,0.9501953266652529
Anaerococcus,0.006504463896993717,0.00826617135399414,8632.0,False,False,Consider permutation test instead of Mann-Whitney,0.06199628515495605
Arthrobacter,0.00028611254990894145,0.01420591465850741,8514.0,True,False,Consider permutation test instead of Mann-Whitney,0.06718533170381336
BBMC-4,0.00011166292526539713,0.051664863814768744,8198.0,True,False,Consider permutation test instead of Mann-Whitney,0.176130217550348
Bacillus,0.003899148045191869,0.13848444298768056,7908.0,True,True,Mann-Whitney assumptions satisfied,0.3245729132523763
Bacteroides,-0.005234289491150104,0.002197058014185165,5070.0,False,False,Consider permutation test instead of Mann-Whitney,0.025096673139536795
Bifidobacterium,-1.0690760360641957e-05,0.6959563692143615,7227.0,True,True,Mann-Whitney assumptions satisfied,0.8556840605094609
Blautia,-0.000784671146865734,0.792813741863649,6818.0,True,True,Mann-Whitney assumptions satisfied,0.937769828338186
Brachybacterium,4.5317909062855604e-06,0.4335266905203723,7472.0,True,True,Mann-Whitney assumptions satisfied,0.6252788805582292
Brevibacterium,-0.00011375747067202471,0.19897946476307005,6180.0,True,True,Mann-Whitney assumptions satisfied,0.43120477684950853
Campylobacter,-0.0014685661977819717,0.00396118250211432,5183.0,False,False,Consider permutation test instead of Mann-Whitney,0.033009854184286
Capnocytophaga,-0.0012339749144476629,0.6865088454631854,6730.0,True,True,Mann-Whitney assumptions satisfied,0.8556840605094609
Corynebacterium,-0.004983374282190117,0.12813494009900148,7933.0,True,True,Mann-Whitney assumptions satisfied,0.32033735024750365
Cutibacterium,0.03014212909264251,0.0038814032676246072,8786.0,False,False,Consider permutation test instead of Mann-Whitney,0.033009854184286
Dermabacter,-0.00013260367824254423,0.8002302535152521,6824.0,True,True,Mann-Whitney assumptions satisfied,0.937769828338186
Dietzia,0.00015198662240582464,0.3030974045237803,7626.0,True,True,Mann-Whitney assumptions satisfied,0.5043513120233482
Dolosigranulum,-0.01850611942606442,0.020652457411015606,5537.0,False,False,Consider permutation test instead of Mann-Whitney,0.0860519058792317
Enterococcus,-0.000961149698148981,0.31451650969034006,7611.0,True,True,Mann-Whitney assumptions satisfied,0.5043513120233482
Enterorhabdus,-0.0004357178617896264,0.9183590901283617,6918.0,True,True,Mann-Whitney assumptions satisfied,0.9501953266652529
Escherichia-Shigella,0.00043532807416709045,0.343877387170173,7574.0,True,True,Mann-Whitney assumptions satisfied,0.5373084174533953
Finegoldia,0.0018519410128820402,0.2919573275273254,7641.0,True,True,Mann-Whitney assumptions satisfied,0.5039313253806006
Frederiksenia,4.384220043134935e-05,0.2272054491553016,7737.0,True,True,Mann-Whitney assumptions satisfied,0.44478775187246306
Fusobacterium,-0.00029485171620523797,0.5238463959171225,6584.0,True,True,Mann-Whitney assumptions satisfied,0.7412920696940412
