Feature,Importance
MCP1,0.02477284457673195
EGF,0.01771109699644959
RANTES,0.017204703239313474
Arthrobacter,0.01485493121992419
MIG,0.012979414197646016
Lawsonella,0.011950553522550166
VEGFD,0.011590330801871489
ENA78,0.011268358671536973
IL12P70,0.011057691105110923
IL23,0.010754924775856356
EOTAXIN,0.010503742050716601
IL17F,0.010448363538480767
Micrococcus,0.010222889418659889
PDGFBB,0.010145394975375262
Rhodococcus,0.009915057967582817
TRAIL,0.009865623855375873
IFNB,0.00972758026832144
Gordonia,0.009588108881067137
Campylobacter,0.009580344435282403
MCP3,0.00945618805673725
NGF,0.00932473986987368
Roseburia,0.00879420481170412
MIP1A,0.008782194760381739
Acinetobacter,0.008558617719554261
Kocuria,0.00837854075137054
LIF,0.008211535520701328
IL1B,0.008085751122371074
GMCSF,0.007832328930039373
IL17A,0.007587916475181922
LEPTIN,0.007536660108089541
