Feature,Importance
Enterobacter,0.027482253
Oribacterium,0.022369055
IL1RA,0.021666804
Bergeyella,0.020199835
Escherichia-Shigella,0.018922804
MCP1,0.017926801
Achromobacter,0.017782982
Fusobacterium,0.016999427
IL1B,0.015288519
MIG,0.015270774
Lautropia,0.015088316
Varibaculum,0.0148049425
Clostridium sensu stricto 1,0.01332145
Comamonas,0.013202907
LEPTIN,0.0122281
ENA78,0.012145531
Arthrobacter,0.0118592065
Micrococcus,0.011529964
hgcI clade,0.011051122
GCA-900066575,0.01104329
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0.010680411
IL13,0.010443883
Prevotella,0.009940096
IL5,0.009932971
GMCSF,0.009700546
Kitasatospora,0.009496219
Streptomyces,0.009415388
IL2,0.009361299
Streptococcus,0.009255483
Nocardioides,0.009241077
