Feature,Importance
IL12P40,0.015625944507221875
IL31,0.01495698963494847
LEPTIN,0.014905086919522558
TGFA,0.014693343344380806
EGF,0.013798543482549476
MCP1,0.013710724361535264
IL1B,0.013458850762803122
MIG,0.013312697123971467
SCF,0.011745224585858232
IL17F,0.011081494294841437
IP10,0.010654986453530722
BDNF,0.010606110659658177
IFNB,0.010604760719295357
GMCSF,0.009854838692950806
IL2,0.009503398869170019
IL1RA,0.009315005967180937
IL10,0.009125706328107431
MIP1A,0.009058859857058045
IFNA,0.008695077948352295
ICAM1,0.008406268658824377
IL27,0.008250942162457905
PDGFBB,0.008234227616694954
VCAM1,0.008028484247531298
IL15,0.0076646945100920525
RESISTIN,0.0076440104547211805
EOTAXIN,0.007615254893916164
IL18,0.007544540904340362
IL21,0.007425289880516096
TNFB,0.007410420895540021
Glutamicibacter,0.007353766875042656
