Feature,Importance
Conchiformibius,0.027748823
Subgroup 10,0.02433619
Acidipropionibacterium,0.017334294
Spirochaeta 2,0.016970439
MCP3,0.016941922
Arthrobacter,0.015822766
Peptostreptococcus,0.01578383
Lautropia,0.014956152
Glutamicibacter,0.014809029
Alcaligenes,0.014752955
Acidothermus,0.014596936
LEPTIN,0.014228535
MIP1A,0.013564854
IL12P40,0.013463351
Iamia,0.013122747
MIG,0.012635147
IP10,0.011992832
SCF,0.011580947
Brachybacterium,0.011237035
IL15,0.011075393
IL4,0.010932535
Micrococcus,0.010566659
Flavobacterium,0.010371987
MIP1B,0.0099817235
Propionibacterium,0.009894187
Lactobacillus,0.009788612
IL1A,0.009582292
EOTAXIN,0.009573644
Parvimonas,0.0094040595
NGF,0.009355063
