Feature,Importance
EGF,0.015395827844722598
MCP1,0.015219487011766375
MIP1A,0.014824676937412894
Marvinbryantia,0.01229238482188195
TGFB,0.011320730294620666
VEGFD,0.01127409427191969
IFNB,0.011010318857546747
Oxalobacter,0.010971682245290068
MIG,0.010938247895435488
LEPTIN,0.010902030696853141
IL12P70,0.010535233638729819
IL31,0.010400824314188858
LIF,0.00999846430420904
GCSF,0.009262358347333069
TRAIL,0.009111353197556677
Parabacteroides,0.008930101652207922
BDNF,0.008869300602168447
IL13,0.008863319969861276
TGFA,0.00880066306796127
IL12P40,0.008798878983974669
RANTES,0.008361924999470994
SCF,0.008238068547574735
IP10,0.008050038333053141
Alistipes,0.007962162370302162
VEGF,0.007857017850237846
Barnesiella,0.007836542305503126
Faecalibacterium,0.007769749748300731
Frisingicoccus,0.007663200480464298
FGFB,0.007639246117826706
Colidextribacter,0.007488493286645674
