Feature,Importance
Brachybacterium,0.0384756
IFNB,0.036488518
MCP3,0.02708088
IL13,0.01970311
TRAIL,0.01901702
Treponema,0.018777262
IL6,0.017856963
Paraprevotella,0.01712754
VEGFD,0.01628967
TNFB,0.0158198
Lachnospira,0.015052536
Marvinbryantia,0.014556187
UCG-003,0.01361523
Subdoligranulum,0.013487553
Anoxybacillus,0.013298828
TNFA,0.012997388
Acinetobacter,0.0127015365
Butyricimonas,0.012345442
Oxalobacter,0.012218363
Selenomonas,0.011145474
GCA-900066575,0.01099527
MIG,0.010987779
MIP1A,0.010874423
IFNG,0.010709762
Enterobacter,0.010531876
NGF,0.010429368
Anaerostipes,0.010377449
Frisingicoccus,0.010361387
Romboutsia,0.010250775
Monoglobus,0.009791118
